POSTCODE,Year,Meter,Total,Mean,Medium,,,,,,,,,,
AB,2018,227440,803610035.5,3533.28366,3245.626325,,,,,,,,,,
AL,2018,85944,325911002.9,3792.132119,3403.998611,,,,,,,,,,
B,2018,684045,2398665256,3506.589853,3115.519473,,,,,,,,,,
BA,2018,177470,645460634.9,3637.012649,3209.430993,,,,,,,,,,
BB,2018,198609,663131850.8,3338.881173,2971.347931,,,,,,,,,,
BD,2018,220255,740974074.5,3364.164602,2942.977631,,,,,,,,,,
BH,2018,235663,823596801,3494.80742,3049.15848,,,,,,,,,,
BL,2018,156461,521566060.3,3333.521199,2971.583291,,,,,,,,,,
BN,2018,283738,947992361,3341.083539,2942.099397,,,,,,,,,,
BR,2018,116703,442125481.2,3788.467144,3362.601679,,,,,,,,,,
BS,2018,386715,1304324018,3372.830167,3016.694965,,,,,,,,,,
CA,2018,133316,463371463.4,3475.737821,3059.919508,,,,,,,,,,
CB,2018,136501,480434016.6,3519.637341,3121.568372,,,,,,,,,,
CF,2018,428327,1376629208,3213.967851,2868.709723,,,,,,,,,,
CH,2018,284701,960174700.8,3372.57228,3049.936287,,,,,,,,,,
CM,2018,216333,848536373.9,3922.362163,3526.432036,,,,,,,,,,
CO,2018,139705,500296388.2,3581.091501,3134.503458,,,,,,,,,, 
CR,2018,141736,511998579.6,3612.339699,3259.493486,,,,,,,,,,
CT,2018,178432,597093118.6,3346.334282,2898.693265,,,,,,,,,,
CV,2018,257798,889330717.2,3449.719227,3057.271758,,,,,,,,,,
CW,2018,134865,478511004.7,3548.074034,3203.761137,,,,,,,,,,
DA,2018,163324,579781160.3,3549.883424,3169.363995,,,,,,,,,,
DD,2018,126844,427431266.2,3369.739729,3048.267695,,,,,,,,,,
DE,2018,217933,727731733.4,3339.245243,2941.517305,,,,,,,,,,
DG,2018,62311,231372094,3713.182167,3227.116903,,,,,,,,,,
DH,2018,138307,415764760,3006.100631,2681.485472,,,,,,,,,,
DL,2018,156500,513072561.7,3278.418925,2918.634028,,,,,,,,,,
DN,2018,315303,1056041126,3349.289812,2966.054271,,,,,,,,,,
DT,2018,90805,322459987.3,3551.1259,3110.319096,,,,,,,,,,
DY,2018,160882,567537231.3,3527.661462,3128.840626,,,,,,,,,,
E,2018,371663,1160572329,3122.646938,2678.567367,,,,,,,,,,
EC,2018,19818,64764628.78,3267.969966,2960.392468,,,,,,,,,,
EH,2018,396191,1257772987,3174.663199,2905.036715,,,,,,,,,,
EN,2018,107692,402653075.4,3738.932097,3333.997414,,,,,,,,,,
EX,2018,223732,797275064.5,3563.527187,3168.438797,,,,,,,,,,
FK,2018,121184,403324912.1,3328.202668,3011.76878,,,,,,,,,,
FY,2018,116129,397506857.3,3422.976666,2991.124075,,,,,,,,,,
G,2018,510395,1568901300,3073.896297,2837.011398,,,,,,,,,,
GL,2018,246244,919208704,3732.918179,3293.775797,,,,,,,,,,
GU,2018,272408,1130866853,4151.371667,3725.511289,,,,,,,,,,
HA,2018,137808,507490644,3682.592041,3294.07724,,,,,,,,,,
HD,2018,109155,364661193.8,3340.76491,2953.81246,,,,,,,,,,
HG,2018,57184,214737128.1,3755.196001,3355.257014,,,,,,,,,,
HP,2018,174158,682169036.8,3916.954931,3496.141281,,,,,,,,,,
HR,2018,65514,251199922.7,3834.29378,3414.600992,,,,,,,,,,
HS,2018,13105,55023826.02,4198.68951,3562.050251,,,,,,,,,,
HU,2018,189032,604961311.5,3200.311648,2839.660897,,,,,,,,,,
HX,2018,67480,230242168.7,3412.006057,2982.437721,,,,,,,,,,
IG,2018,115187,432695437.6,3756.460691,3320.866998,,,,,,,,,,
IP,2018,183951,672136775,3653.890302,3223.586797,,,,,,,,,,
IV,2018,102899,385151509.9,3743.005374,3205.381911,,,,,,,,,,
KA,2018,166509,532007842.9,3195.069594,2890.515022,,,,,,,,,,
KT,2018,188816,781344130.4,4181.612831,3605.76112,,,,,,,,,,
KW,2018,22422,91224287.59,4068.516974,3315.416041,,,,,,,,,,
KY,2018,164122,530964173.3,3235.179764,2898.864839,,,,,,,,,,
L,2018,368959,1183142549,3206.704671,2898.616526,,,,,,,,,,
LA,2018,137823,468579419.7,3399.863736,3004.141595,,,,,,,,,,
LD,2018,20061,76067584.96,3791.814215,3289.082854,,,,,,,,,,
LE,2018,287112,966487990.5,3366.240319,2968.253836,,,,,,,,,,
LL,2018,220764,772515510.1,3499.282085,3101.15732,,,,,,,,,,
LN,2018,95089,327033773.3,3439.238748,3021.515766,,,,,,,,,,
LS,2018,321306,1077980027,3354.99501,2973.938419,,,,,,,,,,
LU,2018,106285,366568289.1,3448.918372,3058.061503,,,,,,,,,,
M,2018,483649,1606320923,3321.253477,2935.883757,,,,,,,,,,
ME,2018,215715,772936281.7,3583.136461,3173.676396,,,,,,,,,,
MK,2018,168223,589624243.6,3505.015625,3125.050679,,,,,,,,,,
ML,2018,160882,538656077.2,3348.14384,3062.050381,,,,,,,,,,
N,2018,299185,975203433.8,3259.533178,2894.476322,,,,,,,,,,
NE,2018,511060,1552042939,3036.90944,2736.133617,,,,,,,,,,
NG,2018,366030,1211563656,3310.011902,2936.438822,,,,,,,,,,
NN,2018,213777,740273813.3,3462.831892,3088.962581,,,,,,,,,,
NP,2018,211218,686363023.2,3249.547971,2923.756449,,,,,,,,,,
NR,2018,241713,834598971.3,3452.85099,3056.13679,,,,,,,,,,
NW,2018,209397,736525030.7,3517.361904,3127.407511,,,,,,,,,,
OL,2018,188801,619986959.2,3283.81184,2929.759387,,,,,,,,,,
OX,2018,237550,905096973.2,3810.132491,3343.211829,,,,,,,,,,
PA,2018,143651,467944418.5,3257.508952,2913.262696,,,,,,,,,,
PE,2018,278989,1006992464,3609.434292,3174.650187,,,,,,,,,,
PH,2018,73268,283626301.6,3871.080166,3347.130089,,,,,,,,,,
PL,2018,215345,772264778.3,3586.174642,3226.513658,,,,,,,,,,
PO,2018,344208,1182281333,3434.78749,3006.469777,,,,,,,,,,
PR,2018,217495,749316063.1,3445.210525,3068.259156,,,,,,,,,,
RG,2018,313043,1235663079,3947.263088,3576.101611,,,,,,,,,,
RH,2018,183357,714427231.3,3896.372821,3499.678795,,,,,,,,,,
RM,2018,173036,615876363.1,3559.238327,3178.898439,,,,,,,,,,
S,2018,559289,1760250512,3147.300434,2786.760306,,,,,,,,,,
SA,2018,313943,1043117528,3322.633498,2963.349079,,,,,,,,,,
SE,2018,412226,1264886673,3068.430117,2661.391664,,,,,,,,,,
SG,2018,136577,501825620.3,3674.305486,3311.031925,,,,,,,,,,
SK,2018,252455,890373766.8,3526.861289,3179.692047,,,,,,,,,,
SL,2018,140670,578832182.4,4114.823221,3725.368859,,,,,,,,,,
SM,2018,76807,272483184.8,3547.634783,3129.337203,,,,,,,,,,
SN,2018,189084,703577419.3,3720.97808,3330.61395,,,,,,,,,,
SO,2018,267369,970657410.7,3630.403714,3214.433264,,,,,,,,,,
SP,2018,93819,364465216.9,3884.76979,3460.570265,,,,,,,,,,
SR,2018,109899,322771117.5,2936.979567,2629.758561,,,,,,,,,,
