POSTCODE,Type,Value
AB,2018Meter,227440
AB,2018Total,803610035.5
AB,2018Mean,3533.28366
AB,2018Medium,3245.626325
AB,2019Meter,229345
AB,2019Total,794051622.1
AB,2019Mean,3462.258267
AB,2019Medium,3182.2631
AB,2020Meter,230329
AB,2020Total,839004905.4
AB,2020Mean,3642.63686
AB,2020Medium,3343.870736
AL,2018Meter,85944
AL,2018Total,325911002.9
AL,2018Mean,3792.132119
AL,2018Medium,3403.998611
AL,2019Meter,87239
AL,2019Total,331224068
AL,2019Mean,3796.743062
AL,2019Medium,3419.851957
AL,2020Meter,88300
AL,2020Total,359414616
AL,2020Mean,4070.380703
AL,2020Medium,3648.548972
B,2018Meter,684045
B,2018Total,2398665256
B,2018Mean,3506.589853
B,2018Medium,3115.519473
B,2019Meter,692446
B,2019Total,2394332901
B,2019Mean,3457.790067
B,2019Medium,3073.860748
B,2020Meter,698514
B,2020Total,2543587748
B,2020Mean,3641.427013
B,2020Medium,3193.826533
BA,2018Meter,177470
BA,2018Total,645460634.9
BA,2018Mean,3637.012649
BA,2018Medium,3209.430993
BA,2019Meter,180008
BA,2019Total,651197017.3
BA,2019Mean,3617.600425
BA,2019Medium,3193.311211
BA,2020Meter,181848
BA,2020Total,697471553.6
BA,2020Mean,3835.464528
BA,2020Medium,3360.566784
BB,2018Meter,198609
BB,2018Total,663131850.8
BB,2018Mean,3338.881173
BB,2018Medium,2971.347931
BB,2019Meter,200651
BB,2019Total,662085900.6
BB,2019Mean,3299.689015
BB,2019Medium,2940.047106
BB,2020Meter,202457
BB,2020Total,704972608.3
BB,2020Mean,3482.085619
BB,2020Medium,3064.31312
BD,2018Meter,220255
BD,2018Total,740974074.5
BD,2018Mean,3364.164602
BD,2018Medium,2942.977631
BD,2019Meter,222289
BD,2019Total,740129896
BD,2019Mean,3329.583992
BD,2019Medium,2924.409382
BD,2020Meter,222982
BD,2020Total,785298230.9
BD,2020Mean,3521.801001
BD,2020Medium,3034.474026
BH,2018Meter,235663
BH,2018Total,823596801
BH,2018Mean,3494.80742
BH,2018Medium,3049.15848
BH,2019Meter,237310
BH,2019Total,826186677.4
BH,2019Mean,3481.46592
BH,2019Medium,3036.276779
BH,2020Meter,238788
BH,2020Total,876307471.3
BH,2020Mean,3669.81369
BH,2020Medium,3166.256209
BL,2018Meter,156461
BL,2018Total,521566060.3
BL,2018Mean,3333.521199
BL,2018Medium,2971.583291
BL,2019Meter,157578
BL,2019Total,520633386.2
BL,2019Mean,3303.972548
BL,2019Medium,2955.65777
BL,2020Meter,158316
BL,2020Total,549999607.9
BL,2020Mean,3474.062052
BL,2020Medium,3072.375993
BN,2018Meter,283738
BN,2018Total,947992361
BN,2018Mean,3341.083539
BN,2018Medium,2942.099397
BN,2019Meter,289024
BN,2019Total,965006005.8
BN,2019Mean,3338.843853
BN,2019Medium,2958.816291
BN,2020Meter,292983
BN,2020Total,1036748882
BN,2020Mean,3538.597401
BN,2020Medium,3102.952271
BR,2018Meter,116703
BR,2018Total,442125481.2
BR,2018Mean,3788.467144
BR,2018Medium,3362.601679
BR,2019Meter,117754
BR,2019Total,443410584.5
BR,2019Mean,3765.567068
BR,2019Medium,3358.768316
BR,2020Meter,118345
BR,2020Total,472427109.7
BR,2020Mean,3991.9482
BR,2020Medium,3520.949649
BS,2018Meter,386715
BS,2018Total,1304324018
BS,2018Mean,3372.830167
BS,2018Medium,3016.694965
BS,2019Meter,391975
BS,2019Total,1315499449
BS,2019Mean,3356.079976
BS,2019Medium,2995.420048
BS,2020Meter,396422
BS,2020Total,1412212595
BS,2020Mean,3562.397129
BS,2020Medium,3154.18594
CA,2018Meter,133316
CA,2018Total,463371463.4
CA,2018Mean,3475.737821
CA,2018Medium,3059.919508
CA,2019Meter,134889
CA,2019Total,465129018.1
CA,2019Mean,3448.23535
CA,2019Medium,3040.46549
CA,2020Meter,136288
CA,2020Total,498042148.8
CA,2020Mean,3654.33603
CA,2020Medium,3179.280582
CB,2018Meter,136501
CB,2018Total,480434016.6
CB,2018Mean,3519.637341
CB,2018Medium,3121.568372
CB,2019Meter,140242
CB,2019Total,490889843.4
CB,2019Mean,3500.305496
CB,2019Medium,3114.360698
CB,2020Meter,143317
CB,2020Total,539279217.7
CB,2020Mean,3762.841935
CB,2020Medium,3322.100632
CF,2018Meter,428327
CF,2018Total,1376629208
CF,2018Mean,3213.967851
CF,2018Medium,2868.709723
CF,2019Meter,432479
CF,2019Total,1375733639
CF,2019Mean,3181.041482
CF,2019Medium,2846.124608
CF,2020Meter,435326
CF,2020Total,1457708789
CF,2020Mean,3348.545202
CF,2020Medium,2962.795599
CH,2018Meter,284701
CH,2018Total,960174700.8
CH,2018Mean,3372.57228
CH,2018Medium,3049.936287
CH,2019Meter,286431
CH,2019Total,955954792.9
CH,2019Mean,3337.469732
CH,2019Medium,3012.384577
CH,2020Meter,288724
CH,2020Total,1014186322
CH,2020Mean,3512.649874
CH,2020Medium,3134.443575
CM,2018Meter,216333
CM,2018Total,848536373.9
CM,2018Mean,3922.362163
CM,2018Medium,3526.432036
CM,2019Meter,222748
CM,2019Total,865838671.1
CM,2019Mean,3887.077195
CM,2019Medium,3505.442097
CM,2020Meter,227395
CM,2020Total,943728957.3
CM,2020Mean,4150.174618
CM,2020Medium,3698.454883
CO,2018Meter,139705
CO,2018Total,500296388.2
CO,2018Mean,3581.091501
CO,2018Medium,3134.503458
CO,2019Meter,143734
CO,2019Total,508519993.2
CO,2019Mean,3537.924174
CO,2019Medium,3109.393338
CO,2020Meter,146853
CO,2020Total,552414473.4
CO,2020Mean,3761.683271
CO,2020Medium,3260.788663
CR,2018Meter,141736
CR,2018Total,511998579.6
CR,2018Mean,3612.339699
CR,2018Medium,3259.493486
CR,2019Meter,145028
CR,2019Total,518992899.9
CR,2019Mean,3578.570344
CR,2019Medium,3242.07698
CR,2020Meter,147216
CR,2020Total,556257463.9
CR,2020Mean,3778.512281
CR,2020Medium,3390.042581
CT,2018Meter,178432
CT,2018Total,597093118.6
CT,2018Mean,3346.334282
CT,2018Medium,2898.693265
CT,2019Meter,181624
CT,2019Total,606062097.6
CT,2019Mean,3336.905351
CT,2019Medium,2897.35567
CT,2020Meter,184453
CT,2020Total,651854192.5
CT,2020Mean,3533.98531
CT,2020Medium,3035.791954
CV,2018Meter,257798
CV,2018Total,889330717.2
CV,2018Mean,3449.719227
CV,2018Medium,3057.271758
CV,2019Meter,266306
CV,2019Total,904141138
CV,2019Mean,3395.121169
CV,2019Medium,3026.729983
CV,2020Meter,273203
CV,2020Total,980375615
CV,2020Mean,3588.451133
CV,2020Medium,3161.384544
CW,2018Meter,134865
CW,2018Total,478511004.7
CW,2018Mean,3548.074034
CW,2018Medium,3203.761137
CW,2019Meter,137678
CW,2019Total,484260363
CW,2019Mean,3517.340193
CW,2019Medium,3165.548922
CW,2020Meter,140392
CW,2020Total,522899828.4
CW,2020Mean,3724.569979
CW,2020Medium,3320.170719
DA,2018Meter,163324
DA,2018Total,579781160.3
DA,2018Mean,3549.883424
DA,2018Medium,3169.363995
DA,2019Meter,164880
DA,2019Total,580745072.9
DA,2019Mean,3522.228729
DA,2019Medium,3143.526145
DA,2020Meter,166706
DA,2020Total,621149369.9
DA,2020Mean,3726.016879
DA,2020Medium,3290.935621
DD,2018Meter,126844
DD,2018Total,427431266.2
DD,2018Mean,3369.739729
DD,2018Medium,3048.267695
DD,2019Meter,127643
DD,2019Total,422045015
DD,2019Mean,3306.448571
DD,2019Medium,2990.610104
DD,2020Meter,128087
DD,2020Total,441135732.7
DD,2020Mean,3444.032046
DD,2020Medium,3070.57178
DE,2018Meter,217933
DE,2018Total,727731733.4
DE,2018Mean,3339.245243
DE,2018Medium,2941.517305
DE,2019Meter,226935
DE,2019Total,751973061.5
DE,2019Mean,3313.605489
DE,2019Medium,2921.662111
DE,2020Meter,234084
DE,2020Total,821336363
DE,2020Mean,3508.724915
DE,2020Medium,3045.737179
DG,2018Meter,62311
DG,2018Total,231372094
DG,2018Mean,3713.182167
DG,2018Medium,3227.116903
DG,2019Meter,62817
DG,2019Total,230535313.7
DG,2019Mean,3669.951028
DG,2019Medium,3196.411895
DG,2020Meter,63093
DG,2020Total,243360978.1
DG,2020Mean,3857.178738
DG,2020Medium,3292.590499
DH,2018Meter,138307
DH,2018Total,415764760
DH,2018Mean,3006.100631
DH,2018Medium,2681.485472
DH,2019Meter,139439
DH,2019Total,416602180.6
DH,2019Mean,2987.70201
DH,2019Medium,2654.422623
DH,2020Meter,140529
DH,2020Total,442103441.4
DH,2020Mean,3145.99436
DH,2020Medium,2746.037449
DL,2018Meter,156500
DL,2018Total,513072561.7
DL,2018Mean,3278.418925
DL,2018Medium,2918.634028
DL,2019Meter,158188
DL,2019Total,514783108.9
DL,2019Mean,3254.248798
DL,2019Medium,2891.547308
DL,2020Meter,159581
DL,2020Total,550886545.6
DL,2020Mean,3452.081047
DL,2020Medium,3029.458581
DN,2018Meter,315303
DN,2018Total,1056041126
DN,2018Mean,3349.289812
DN,2018Medium,2966.054271
DN,2019Meter,318373
DN,2019Total,1057950667
DN,2019Mean,3322.991168
DN,2019Medium,2948.985958
DN,2020Meter,320507
DN,2020Total,1123042016
DN,2020Mean,3503.954723
DN,2020Medium,3051.133286
DT,2018Meter,90805
DT,2018Total,322459987.3
DT,2018Mean,3551.1259
DT,2018Medium,3110.319096
DT,2019Meter,91945
DT,2019Total,324600616.3
DT,2019Mean,3530.378121
DT,2019Medium,3092.61176
DT,2020Meter,92690
DT,2020Total,344337308.4
DT,2020Mean,3714.93482
DT,2020Medium,3213.359607
DY,2018Meter,160882
DY,2018Total,567537231.3
DY,2018Mean,3527.661462
DY,2018Medium,3128.840626
DY,2019Meter,162221
DY,2019Total,568058994.1
DY,2019Mean,3501.759908
DY,2019Medium,3108.403266
DY,2020Meter,163619
DY,2020Total,600620086.3
DY,2020Mean,3670.8456
DY,2020Medium,3215.811996
E,2018Meter,371663
E,2018Total,1160572329
E,2018Mean,3122.646938
E,2018Medium,2678.567367
E,2019Meter,379163
E,2019Total,1158674138
E,2019Mean,3055.873431
E,2019Medium,2642.795454
E,2020Meter,385488
E,2020Total,1233704537
E,2020Mean,3200.370795
E,2020Medium,2744.910956
EC,2018Meter,19818
EC,2018Total,64764628.78
EC,2018Mean,3267.969966
EC,2018Medium,2960.392468
EC,2019Meter,20124
EC,2019Total,65172528.21
EC,2019Mean,3238.547417
EC,2019Medium,2880.161632
EC,2020Meter,20857
EC,2020Total,68765339.14
EC,2020Mean,3296.990897
EC,2020Medium,2879.063641
EH,2018Meter,396191
EH,2018Total,1257772987
EH,2018Mean,3174.663199
EH,2018Medium,2905.036715
EH,2019Meter,402463
EH,2019Total,1269951263
EH,2019Mean,3155.448483
EH,2019Medium,2883.988941
EH,2020Meter,405803
EH,2020Total,1347638151
EH,2020Mean,3320.917171
EH,2020Medium,3010.32156
EN,2018Meter,107692
EN,2018Total,402653075.4
EN,2018Mean,3738.932097
EN,2018Medium,3333.997414
EN,2019Meter,109534
EN,2019Total,406479321.6
EN,2019Mean,3710.987653
EN,2019Medium,3316.221596
EN,2020Meter,110677
EN,2020Total,432002265.2
EN,2020Mean,3903.270465
EN,2020Medium,3447.605473
EX,2018Meter,223732
EX,2018Total,797275064.5
EX,2018Mean,3563.527187
EX,2018Medium,3168.438797
EX,2019Meter,227639
EX,2019Total,806143556.5
EX,2019Mean,3541.32445
EX,2019Medium,3159.282925
EX,2020Meter,230681
EX,2020Total,863087135.9
EX,2020Mean,3741.474746
EX,2020Medium,3310.385444
FK,2018Meter,121184
FK,2018Total,403324912.1
FK,2018Mean,3328.202668
FK,2018Medium,3011.76878
FK,2019Meter,122103
FK,2019Total,403794610.9
FK,2019Mean,3306.999917
FK,2019Medium,2986.999115
FK,2020Meter,122773
FK,2020Total,425882910.1
FK,2020Mean,3468.864572
FK,2020Medium,3098.750826
FY,2018Meter,116129
FY,2018Total,397506857.3
FY,2018Mean,3422.976666
FY,2018Medium,2991.124075
FY,2019Meter,117229
FY,2019Total,396217984.5
FY,2019Mean,3379.863212
FY,2019Medium,2968.919333
FY,2020Meter,118177
FY,2020Total,422407980.3
FY,2020Mean,3574.367096
FY,2020Medium,3087.371683
G,2018Meter,510395
G,2018Total,1568901300
G,2018Mean,3073.896297
G,2018Medium,2837.011398
G,2019Meter,516898
G,2019Total,1566011817
G,2019Mean,3029.63412
G,2019Medium,2792.909461
G,2020Meter,521171
G,2020Total,1649733717
G,2020Mean,3165.436521
G,2020Medium,2891.539755
GL,2018Meter,246244
GL,2018Total,919208704
GL,2018Mean,3732.918179
GL,2018Medium,3293.775797
GL,2019Meter,250041
GL,2019Total,929790287.7
GL,2019Mean,3718.551308
GL,2019Medium,3273.704038
GL,2020Meter,252896
GL,2020Total,993587231.8
GL,2020Mean,3928.837276
GL,2020Medium,3423.751005
GU,2018Meter,272408
GU,2018Total,1130866853
GU,2018Mean,4151.371667
GU,2018Medium,3725.511289
GU,2019Meter,277124
GU,2019Total,1141094567
GU,2019Mean,4117.631701
GU,2019Medium,3703.321639
GU,2020Meter,280148
GU,2020Total,1221802526
GU,2020Mean,4361.275204
GU,2020Medium,3897.16454
HA,2018Meter,137808
HA,2018Total,507490644
HA,2018Mean,3682.592041
HA,2018Medium,3294.07724
HA,2019Meter,141158
HA,2019Total,515867385.2
HA,2019Mean,3654.538781
HA,2019Medium,3274.338682
HA,2020Meter,143223
HA,2020Total,548899271.1
HA,2020Mean,3832.479916
HA,2020Medium,3415.205131
HD,2018Meter,109155
HD,2018Total,364661193.8
HD,2018Mean,3340.76491
HD,2018Medium,2953.81246
HD,2019Meter,110025
HD,2019Total,366545744.4
HD,2019Mean,3331.476887
HD,2019Medium,2943.628989
HD,2020Meter,110415
HD,2020Total,389594117.7
HD,2020Mean,3528.452816
HD,2020Medium,3084.144058
HG,2018Meter,57184
HG,2018Total,214737128.1
HG,2018Mean,3755.196001
HG,2018Medium,3355.257014
HG,2019Meter,58041
HG,2019Total,216627479.7
HG,2019Mean,3732.318183
HG,2019Medium,3360.263864
HG,2020Meter,58734
HG,2020Total,233171024.7
HG,2020Mean,3969.949683
HG,2020Medium,3516.19978
HP,2018Meter,174158
HP,2018Total,682169036.8
HP,2018Mean,3916.954931
HP,2018Medium,3496.141281
HP,2019Meter,177866
HP,2019Total,692627344.3
HP,2019Mean,3894.096366
HP,2019Medium,3488.270223
HP,2020Meter,180551
HP,2020Total,745438099.7
HP,2020Mean,4128.684414
HP,2020Medium,3665.738141
HR,2018Meter,65514
HR,2018Total,251199922.7
HR,2018Mean,3834.29378
HR,2018Medium,3414.600992
HR,2019Meter,66791
HR,2019Total,254415494.8
HR,2019Mean,3809.128397
HR,2019Medium,3387.145106
HR,2020Meter,67590
HR,2020Total,271758150.3
HR,2020Mean,4020.685757
HR,2020Medium,3537.187225
HS,2018Meter,13105
HS,2018Total,55023826.02
HS,2018Mean,4198.68951
HS,2018Medium,3562.050251
HS,2019Meter,13173
HS,2019Total,55760193.87
HS,2019Mean,4232.915347
HS,2019Medium,3543.626413
HS,2020Meter,13209
HS,2020Total,58635067.22
HS,2020Mean,4439.023939
HS,2020Medium,3709.840084
HU,2018Meter,189032
HU,2018Total,604961311.5
HU,2018Mean,3200.311648
HU,2018Medium,2839.660897
HU,2019Meter,190646
HU,2019Total,603882440.3
HU,2019Mean,3167.558933
HU,2019Medium,2801.183051
HU,2020Meter,191581
HU,2020Total,640807344.2
HU,2020Mean,3344.837662
HU,2020Medium,2908.513399
HX,2018Meter,67480
HX,2018Total,230242168.7
HX,2018Mean,3412.006057
HX,2018Medium,2982.437721
HX,2019Meter,68044
HX,2019Total,231137379
HX,2019Mean,3396.881121
HX,2019Medium,2963.124635
HX,2020Meter,68495
HX,2020Total,246824439
HX,2020Mean,3603.539513
HX,2020Medium,3113.232968
IG,2018Meter,115187
IG,2018Total,432695437.6
IG,2018Mean,3756.460691
IG,2018Medium,3320.866998
IG,2019Meter,116845
IG,2019Total,431127888.3
IG,2019Mean,3689.741866
IG,2019Medium,3278.805636
IG,2020Meter,117952
IG,2020Total,459274496.5
IG,2020Mean,3893.740645
IG,2020Medium,3406.464465
IP,2018Meter,183951
IP,2018Total,672136775
IP,2018Mean,3653.890302
IP,2018Medium,3223.586797
IP,2019Meter,189759
IP,2019Total,686591330.1
IP,2019Mean,3618.228016
IP,2019Medium,3193.296067
IP,2020Meter,194235
IP,2020Total,750426236
IP,2020Mean,3863.496466
IP,2020Medium,3374.901875
IV,2018Meter,102899
IV,2018Total,385151509.9
IV,2018Mean,3743.005374
IV,2018Medium,3205.381911
IV,2019Meter,104357
IV,2019Total,390311911.8
IV,2019Mean,3740.160332
IV,2019Medium,3194.196843
IV,2020Meter,105149
IV,2020Total,408959732.3
IV,2020Mean,3889.335441
IV,2020Medium,3303.494747
KA,2018Meter,166509
KA,2018Total,532007842.9
KA,2018Mean,3195.069594
KA,2018Medium,2890.515022
KA,2019Meter,167598
KA,2019Total,530708021.1
KA,2019Mean,3166.553426
KA,2019Medium,2860.470302
KA,2020Meter,168581
KA,2020Total,556613374.9
KA,2020Mean,3318.519868
KA,2020Medium,2955.98275
KT,2018Meter,188816
KT,2018Total,781344130.4
KT,2018Mean,4181.612831
KT,2018Medium,3605.76112
KT,2019Meter,191298
KT,2019Total,793422315.6
KT,2019Mean,4350.790266
KT,2019Medium,3940.155224
KT,2020Meter,60919
KT,2020Total,205843998
KT,2020Mean,3378.978611
KT,2020Medium,3026.126038
KW,2018Meter,22422
KW,2018Total,91224287.59
KW,2018Mean,4068.516974
KW,2018Medium,3315.416041
KW,2019Meter,22475
KW,2019Total,92902167.75
KW,2019Mean,4133.578098
KW,2019Medium,3367.03858
KW,2020Meter,22580
KW,2020Total,96982630.97
KW,2020Mean,4295.067802
KW,2020Medium,3448.696276
KY,2018Meter,164122
KY,2018Total,530964173.3
KY,2018Mean,3235.179764
KY,2018Medium,2898.864839
KY,2019Meter,165838
KY,2019Total,533095767.6
KY,2019Mean,3214.557385
KY,2019Medium,2878.493755
KY,2020Meter,166877
KY,2020Total,560177741.6
KY,2020Mean,3356.83013
KY,2020Medium,2968.906201
L,2018Meter,368959
L,2018Total,1183142549
L,2018Mean,3206.704671
L,2018Medium,2898.616526
L,2019Meter,372753
L,2019Total,1175202972
L,2019Mean,3152.765967
L,2019Medium,2839.777865
L,2020Meter,375815
L,2020Total,1238647682
L,2020Mean,3295.897401
L,2020Medium,2932.004673
LA,2018Meter,137823
LA,2018Total,468579419.7
LA,2018Mean,3399.863736
LA,2018Medium,3004.141595
LA,2019Meter,139000
LA,2019Total,468244190.3
LA,2019Mean,3368.66324
LA,2019Medium,2973.189987
LA,2020Meter,139664
LA,2020Total,498222994.6
LA,2020Mean,3567.297189
LA,2020Medium,3100.080026
LD,2018Meter,20061
LD,2018Total,76067584.96
LD,2018Mean,3791.814215
LD,2018Medium,3289.082854
LD,2019Meter,20219
LD,2019Total,76397416.44
LD,2019Mean,3778.496288
LD,2019Medium,3274.278868
LD,2020Meter,20394
LD,2020Total,80865346.26
LD,2020Mean,3965.153783
LD,2020Medium,3404.245634
LE,2018Meter,287112
LE,2018Total,966487990.5
LE,2018Mean,3366.240319
LE,2018Medium,2968.253836
LE,2019Meter,297083
LE,2019Total,987989624
LE,2019Mean,3325.635004
LE,2019Medium,2936.376961
LE,2020Meter,304948
LE,2020Total,1084305049
LE,2020Mean,3555.70474
LE,2020Medium,3087.492573
LL,2018Meter,220764
LL,2018Total,772515510.1
LL,2018Mean,3499.282085
LL,2018Medium,3101.15732
LL,2019Meter,222526
LL,2019Total,772353052
LL,2019Mean,3470.84409
LL,2019Medium,3060.625508
LL,2020Meter,223801
LL,2020Total,810412533.4
LL,2020Mean,3621.130082
LL,2020Medium,3146.056414
LN,2018Meter,95089
LN,2018Total,327033773.3
LN,2018Mean,3439.238748
LN,2018Medium,3021.515766
LN,2019Meter,98175
LN,2019Total,334607956.6
LN,2019Mean,3408.280689
LN,2019Medium,2993.842494
LN,2020Meter,100689
LN,2020Total,363178118.3
LN,2020Mean,3606.929439
LN,2020Medium,3123.893449
LS,2018Meter,321306
LS,2018Total,1077980027
LS,2018Mean,3354.99501
LS,2018Medium,2973.938419
LS,2019Meter,324935
LS,2019Total,1083519034
LS,2019Mean,3334.571634
LS,2019Medium,2955.874617
LS,2020Meter,326640
LS,2020Total,1156341626
LS,2020Mean,3540.110291
LS,2020Medium,3099.40058
LU,2018Meter,106285
LU,2018Total,366568289.1
LU,2018Mean,3448.918372
LU,2018Medium,3058.061503
LU,2019Meter,108947
LU,2019Total,372118522.2
LU,2019Mean,3415.592188
LU,2019Medium,3039.470846
LU,2020Meter,111081
LU,2020Total,400246594.3
LU,2020Mean,3603.195815
LU,2020Medium,3155.377654
M,2018Meter,483649
M,2018Total,1606320923
M,2018Mean,3321.253477
M,2018Medium,2935.883757
M,2019Meter,491064
M,2019Total,1614918103
M,2019Mean,3288.610248
M,2019Medium,2918.111742
M,2020Meter,498506
M,2020Total,1719926924
M,2020Mean,3450.162934
M,2020Medium,3014.074841
ME,2018Meter,215715
ME,2018Total,772936281.7
ME,2018Mean,3583.136461
ME,2018Medium,3173.676396
ME,2019Meter,220740
ME,2019Total,786142609.5
ME,2019Mean,3561.396256
ME,2019Medium,3168.468604
ME,2020Meter,225631
ME,2020Total,849601733.6
ME,2020Mean,3765.447716
ME,2020Medium,3317.62495
MK,2018Meter,168223
MK,2018Total,589624243.6
MK,2018Mean,3505.015625
MK,2018Medium,3125.050679
MK,2019Meter,174092
MK,2019Total,605300220.7
MK,2019Mean,3476.89854
MK,2019Medium,3101.620321
MK,2020Meter,179725
MK,2020Total,668807092.6
MK,2020Mean,3721.280248
MK,2020Medium,3278.268408
ML,2018Meter,160882
ML,2018Total,538656077.2
ML,2018Mean,3348.14384
ML,2018Medium,3062.050381
ML,2019Meter,162656
ML,2019Total,541295829.6
ML,2019Mean,3327.856517
ML,2019Medium,3035.983536
ML,2020Meter,163947
ML,2020Total,569663397.5
ML,2020Mean,3474.680217
ML,2020Medium,3129.332694
N,2018Meter,299185
N,2018Total,975203433.8
N,2018Mean,3259.533178
N,2018Medium,2894.476322
N,2019Meter,302866
N,2019Total,975241885.1
N,2019Mean,3220.044129
N,2019Medium,2871.036469
N,2020Meter,305297
N,2020Total,1032748330
N,2020Mean,3382.766059
N,2020Medium,2981.187894
NE,2018Meter,511060
NE,2018Total,1552042939
NE,2018Mean,3036.90944
NE,2018Medium,2736.133617
NE,2019Meter,515149
NE,2019Total,1550434880
NE,2019Mean,3009.682402
NE,2019Medium,2709.639342
NE,2020Meter,518480
NE,2020Total,1638838385
NE,2020Mean,3160.851692
NE,2020Medium,2804.069438
NG,2018Meter,366030
NG,2018Total,1211563656
NG,2018Mean,3310.011902
NG,2018Medium,2936.438822
NG,2019Meter,376284
NG,2019Total,1235756536
NG,2019Mean,3284.105983
NG,2019Medium,2912.403713
NG,2020Meter,384825
NG,2020Total,1335666382
NG,2020Mean,3470.840984
NG,2020Medium,3038.947286
NN,2018Meter,213777
NN,2018Total,740273813.3
NN,2018Mean,3462.831892
NN,2018Medium,3088.962581
NN,2019Meter,220152
NN,2019Total,753365376.9
NN,2019Mean,3422.02377
NN,2019Medium,3048.796677
NN,2020Meter,226025
NN,2020Total,821287485.5
NN,2020Mean,3633.613474
NN,2020Medium,3198.764041
NP,2018Meter,211218
NP,2018Total,686363023.2
NP,2018Mean,3249.547971
NP,2018Medium,2923.756449
NP,2019Meter,213183
NP,2019Total,688382913.8
NP,2019Mean,3229.070394
NP,2019Medium,2907.36585
NP,2020Meter,215012
NP,2020Total,730720699
NP,2020Mean,3398.511241
NP,2020Medium,3015.946987
NR,2018Meter,241713
NR,2018Total,834598971.3
NR,2018Mean,3452.85099
NR,2018Medium,3056.13679
NR,2019Meter,248490
NR,2019Total,851883744
NR,2019Mean,3428.241555
NR,2019Medium,3043.262595
NR,2020Meter,253715
NR,2020Total,925108251
NR,2020Mean,3646.249733
NR,2020Medium,3197.108836
NW,2018Meter,209397
NW,2018Total,736525030.7
NW,2018Mean,3517.361904
NW,2018Medium,3127.407511
NW,2019Meter,212192
NW,2019Total,732236241.7
NW,2019Mean,3450.819266
NW,2019Medium,3091.638409
NW,2020Meter,213423
NW,2020Total,768557561.6
NW,2020Mean,3601.099983
NW,2020Medium,3180.495545
OL,2018Meter,188801
OL,2018Total,619986959.2
OL,2018Mean,3283.81184
OL,2018Medium,2929.759387
OL,2019Meter,189797
OL,2019Total,618975940.8
OL,2019Mean,3261.2525
OL,2019Medium,2901.655882
OL,2020Meter,190747
OL,2020Total,651275617.9
OL,2020Mean,3414.342653
OL,2020Medium,3001.651016
OX,2018Meter,237550
OX,2018Total,905096973.2
OX,2018Mean,3810.132491
OX,2018Medium,3343.211829
OX,2019Meter,242874
OX,2019Total,917193775.4
OX,2019Mean,3776.418124
OX,2019Medium,3314.095956
OX,2020Meter,247306
OX,2020Total,986492925.2
OX,2020Mean,3988.956698
OX,2020Medium,3477.106317
PA,2018Meter,143651
PA,2018Total,467944418.5
PA,2018Mean,3257.508952
PA,2018Medium,2913.262696
PA,2019Meter,145100
PA,2019Total,469462390.2
PA,2019Mean,3235.440318
PA,2019Medium,2882.486796
