POSTCODE,Type,2018,2019,2020
AB,Meter,227440,229345,230329
AL,Meter,85944,87239,88300
B,Meter,684045,692446,698514
BA,Meter,177470,180008,181848
BB,Meter,198609,200651,202457
BD,Meter,220255,222289,222982
BH,Meter,235663,237310,238788
BL,Meter,156461,157578,158316
BN,Meter,283738,289024,292983
BR,Meter,116703,117754,118345
BS,Meter,386715,391975,396422
CA,Meter,133316,134889,136288
CB,Meter,136501,140242,143317
CF,Meter,428327,432479,435326
CH,Meter,284701,286431,288724
CM,Meter,216333,222748,227395
CO,Meter,139705,143734,146853
CR,Meter,141736,145028,147216
CT,Meter,178432,181624,184453
CV,Meter,257798,266306,273203
CW,Meter,134865,137678,140392
DA,Meter,163324,164880,166706
DD,Meter,126844,127643,128087
DE,Meter,217933,226935,234084
DG,Meter,62311,62817,63093
DH,Meter,138307,139439,140529
DL,Meter,156500,158188,159581
DN,Meter,315303,318373,320507
DT,Meter,90805,91945,92690
DY,Meter,160882,162221,163619
E,Meter,371663,379163,385488
EC,Meter,19818,20124,20857
EH,Meter,396191,402463,405803
EN,Meter,107692,109534,110677
EX,Meter,223732,227639,230681
FK,Meter,121184,122103,122773
FY,Meter,116129,117229,118177
G,Meter,510395,516898,521171
GL,Meter,246244,250041,252896
GU,Meter,272408,277124,280148
HA,Meter,137808,141158,143223
HD,Meter,109155,110025,110415
HG,Meter,57184,58041,58734
HP,Meter,174158,177866,180551
HR,Meter,65514,66791,67590
HS,Meter,13105,13173,13209
HU,Meter,189032,190646,191581
HX,Meter,67480,68044,68495
IG,Meter,115187,116845,117952
IP,Meter,183951,189759,194235
IV,Meter,102899,104357,105149
KA,Meter,166509,167598,168581
KT,Meter,188816,191298,60919
KW,Meter,22422,22475,22580
KY,Meter,164122,165838,166877
L,Meter,368959,372753,375815
LA,Meter,137823,139000,139664
LD,Meter,20061,20219,20394
LE,Meter,287112,297083,304948
LL,Meter,220764,222526,223801
LN,Meter,95089,98175,100689
LS,Meter,321306,324935,326640
LU,Meter,106285,108947,111081
M,Meter,483649,491064,498506
ME,Meter,215715,220740,225631
MK,Meter,168223,174092,179725
ML,Meter,160882,162656,163947
N,Meter,299185,302866,305297
NE,Meter,511060,515149,518480
NG,Meter,366030,376284,384825
NN,Meter,213777,220152,226025
NP,Meter,211218,213183,215012
NR,Meter,241713,248490,253715
NW,Meter,209397,212192,213423
OL,Meter,188801,189797,190747
OX,Meter,237550,242874,247306
PA,Meter,143651,145100,146060
PE,Meter,278989,288183,296391
PH,Meter,73268,74114,74760
PL,Meter,215345,218499,221022
PO,Meter,344208,347170,349952
PR,Meter,217495,220501,223334
RG,Meter,313043,319192,323672
RH,Meter,183357,188075,192387
RM,Meter,173036,175659,177849
S,Meter,559289,565806,569123
SA,Meter,313943,316438,318577
SE,Meter,412226,416378,418356
SG,Meter,136577,139780,142565
SK,Meter,252455,254939,256672
SL,Meter,140670,141878,142943
SM,Meter,76807,77789,78272
SN,Meter,189084,191611,193905
